Brand Name,Identifier,Munsell Specification,Total Hue,Hue Prefix,Hue Letter(s),ASTM Hue,Value,Chroma
Blue Earth,C2C,6.38B 4.14/3.47,6.38B,6.38,B,66.38,4.14,3.47
Sennelier,160,6.82Y 4.20/3.47,6.82Y,6.82,Y,26.82,4.20,3.47
Sennelier,436,3.78YR 4.26/3.47,3.78YR,3.78,YR,13.78,4.26,3.47
Schmincke,085M,2.78GY 7.30/3.47,2.78GY,2.78,GY,32.78,7.30,3.47
Sennelier,445,7.45P 4.75/3.48,7.45P,7.45,P,87.45,4.75,3.48
Girault,214,6.38Y 5.81/3.48,6.38Y,6.38,Y,26.38,5.81,3.48
Great American,140.3,3.29YR 6.76/3.48,3.29YR,3.29,YR,13.29,6.76,3.48
Great American,660.5,9.73RP 7.56/3.48,9.73RP,9.73,RP,99.73,7.56,3.48
Rembrandt,"231,9",8.96YR 8.17/3.48,8.96YR,8.96,YR,18.96,8.17,3.48
Blue Earth,R2C,7.48R 3.97/3.49,7.48R,7.48,R,7.48,3.97,3.49
Unison,A58,1.65RP 4.25/3.49,1.65RP,1.65,RP,91.65,4.25,3.49
Schmincke,061B,6.48PB 2.35/3.50,6.48PB,6.48,PB,76.48,2.35,3.50
Schmincke,030H,4.63Y 5.73/3.50,4.63Y,4.63,Y,24.63,5.73,3.50
Mount Vision,492,4.41YR 7.48/3.50,4.41YR,4.41,YR,14.41,7.48,3.50
Unison,Dark2,9.35R 2.71/3.51,9.35R,9.35,R,9.35,2.71,3.51
Blue Earth,P1B,1.66R 2.99/3.51,1.66R,1.66,R,1.66,2.99,3.51
Unison,NE8,9.92YR 3.90/3.51,9.92YR,9.92,YR,19.92,3.90,3.51
Unison,BE22,1.23YR 5.25/3.51,1.23YR,1.23,YR,11.23,5.25,3.51
Girault,246,5.20BG 7.08/3.51,5.20BG,5.20,BG,55.20,7.08,3.51
Sennelier,116,0.69Y 8.75/3.51,0.69Y,0.69,Y,20.69,8.75,3.51
Great American,270.0,6.16P 3.50/3.52,6.16P,6.16,P,86.16,3.50,3.52
Rembrandt,"411,3",3.12YR 3.38/3.53,3.12YR,3.12,YR,13.12,3.38,3.53
Rembrandt,"409,7",4.81YR 4.41/3.53,4.81YR,4.81,YR,14.81,4.41,3.53
Girault,426,1.39YR 2.60/3.54,1.39YR,1.39,YR,11.39,2.60,3.54
Mount Vision,830,3.64G 3.65/3.54,3.64G,3.64,G,43.64,3.65,3.54
Girault,315,4.89RP 7.38/3.54,4.89RP,4.89,RP,94.89,7.38,3.54
Rembrandt,"371,9",1.61R 8.01/3.54,1.61R,1.61,R,1.61,8.01,3.54
Sennelier,344,9.93YR 9.00/3.54,9.93YR,9.93,YR,19.93,9.00,3.54
Blue Earth,L7C,0.51GY 8.12/3.55,0.51GY,0.51,GY,30.51,8.12,3.55
Mount Vision,610,5.60GY 4.63/3.56,5.60GY,5.60,GY,35.60,4.63,3.56
Unison,NE15,0.61Y 6.63/3.56,0.61Y,0.61,Y,20.61,6.63,3.56
Great American,410.5,1.56PB 6.93/3.56,1.56PB,1.56,PB,71.56,6.93,3.56
Great American,600.5,0.61R 8.35/3.56,0.61R,0.61,R,0.61,8.35,3.56
Girault,463,6.07PB 1.79/3.57,6.07PB,6.07,PB,76.07,1.79,3.57
Girault,442,4.08R 3.59/3.57,4.08R,4.08,R,4.08,3.59,3.57
Mount Vision,564,5.31GY 6.14/3.57,5.31GY,5.31,GY,35.31,6.14,3.57
Mount Vision,72,7.22BG 6.76/3.57,7.22BG,7.22,BG,57.22,6.76,3.57
Mount Vision,63,1.12G 8.04/3.57,1.12G,1.12,G,41.12,8.04,3.57
Sennelier,745,1.20B 8.41/3.57,1.20B,1.20,B,61.20,8.41,3.57
Rembrandt,"548,8",3.25P 6.99/3.58,3.25P,3.25,P,83.25,6.99,3.58
Unison,G23,4.37G 7.61/3.58,4.37G,4.37,G,44.37,7.61,3.58
Mount Vision,541,9.57B 4.13/3.59,9.57B,9.57,B,69.57,4.13,3.59
Girault,444,0.76R 5.00/3.59,0.76R,0.76,R,0.76,5.00,3.59
Great American,195.3,4.67Y 6.45/3.59,4.67Y,4.67,Y,24.67,6.45,3.59
Blue Earth,L6C,8.95Y 7.48/3.59,8.95Y,8.95,Y,28.95,7.48,3.59
Mount Vision,281,6.11GY 3.26/3.60,6.11GY,6.11,GY,36.11,3.26,3.60
Mount Vision,110,8.24YR 3.41/3.60,8.24YR,8.24,YR,18.24,3.41,3.60
Unison,BE3,0.38Y 6.60/3.60,0.38Y,0.38,Y,20.38,6.60,3.60
Blue Earth,Y7C,0.69Y 8.22/3.60,0.69Y,0.69,Y,20.69,8.22,3.60
Unison,A51,9.10B 3.71/3.61,9.10B,9.10,B,69.10,3.71,3.61
Great American,920.3,6.69PB 6.41/3.61,6.69PB,6.69,PB,76.69,6.41,3.61
Unison,G18,6.07Y 8.10/3.61,6.07Y,6.07,Y,26.07,8.10,3.61
Great American,945.4,2.60B 8.55/3.61,2.60B,2.60,B,62.60,8.55,3.61
Unison,BV6,4.56P 3.28/3.62,4.56P,4.56,P,84.56,3.28,3.62
Girault,33,5.23Y 4.00/3.62,5.23Y,5.23,Y,25.23,4.00,3.62
Great American,155.3,2.44YR 6.75/3.62,2.44YR,2.44,YR,12.44,6.75,3.62
Great American,150.0,3.98G 3.91/3.63,3.98G,3.98,G,43.98,3.91,3.63
Great American,125.5,7.96YR 6.90/3.63,7.96YR,7.96,YR,17.96,6.90,3.63
Blue Earth,Y6D,9.43YR 7.40/3.63,9.43YR,9.43,YR,19.43,7.40,3.63
Schmincke,014O,1.35Y 9.05/3.63,1.35Y,1.35,Y,21.35,9.05,3.63
Mount Vision,703,2.70Y 4.58/3.64,2.70Y,2.70,Y,22.70,4.58,3.64
Great American,165.5,7.57YR 6.93/3.64,7.57YR,7.57,YR,17.57,6.93,3.64
Blue Earth,B5B,1.01PB 7.09/3.64,1.01PB,1.01,PB,71.01,7.09,3.64
Mount Vision,242,2.93RP 8.89/3.64,2.93RP,2.93,RP,92.93,8.89,3.64
Sennelier,237,6.07GY 2.80/3.65,6.07GY,6.07,GY,36.07,2.80,3.65
Mount Vision,472,1.15Y 7.78/3.65,1.15Y,1.15,Y,21.15,7.78,3.65
Mount Vision,253,1.81RP 8.40/3.65,1.81RP,1.81,RP,91.81,8.40,3.65
Unison,BGE9,0.92BG 5.18/3.66,0.92BG,0.92,BG,50.92,5.18,3.66
Sennelier,20,5.91YR 8.43/3.66,5.91YR,5.91,YR,15.91,8.43,3.66
Girault,491,0.07GY 3.61/3.68,0.07GY,0.07,GY,30.07,3.61,3.68
Blue Earth,L2A,6.06Y 3.91/3.68,6.06Y,6.06,Y,26.06,3.91,3.68
Great American,910.3,9.39YR 8.02/3.68,9.39YR,9.39,YR,19.39,8.02,3.68
Schmincke,029O,2.62Y 8.61/3.68,2.62Y,2.62,Y,22.62,8.61,3.68
Unison,Y18,2.36Y 8.82/3.68,2.36Y,2.36,Y,22.36,8.82,3.68
Girault,201,5.11GY 3.43/3.69,5.11GY,5.11,GY,35.11,3.43,3.69
Schmincke,074O,3.37BG 6.67/3.69,3.37BG,3.37,BG,53.37,6.67,3.69
Blue Earth,E7C,5.76GY 8.50/3.69,5.76GY,5.76,GY,35.76,8.50,3.69
Girault,316,7.48Y 3.95/3.70,7.48Y,7.48,Y,27.48,3.95,3.70
Unison,YGE14,7.34Y 7.60/3.70,7.34Y,7.34,Y,27.34,7.60,3.70
Girault,441,5.40R 3.10/3.71,5.40R,5.40,R,5.40,3.10,3.71
Mount Vision,582,3.31YR 3.24/3.71,3.31YR,3.31,YR,13.31,3.24,3.71
Unison,G1,9.48G 3.37/3.71,9.48G,9.48,G,49.48,3.37,3.71
Girault,163,5.38YR 5.19/3.71,5.38YR,5.38,YR,15.38,5.19,3.71
Unison,Grey23,2.72Y 8.31/3.71,2.72Y,2.72,Y,22.72,8.31,3.71
Schmincke,084H,7.57GY 6.45/3.72,7.57GY,7.57,GY,37.57,6.45,3.72
Sennelier,168,8.36GY 2.73/3.73,8.36GY,8.36,GY,38.36,2.73,3.73
Girault,427,9.23R 3.49/3.73,9.23R,9.23,R,9.23,3.49,3.73
Girault,366,6.26P 6.50/3.73,6.26P,6.26,P,86.26,6.50,3.73
Sennelier,107,9.90YR 7.13/3.73,9.90YR,9.90,YR,19.90,7.13,3.73
Girault,221,0.07G 3.98/3.74,0.07G,0.07,G,40.07,3.98,3.74
Rembrandt,"409,8",5.45YR 6.28/3.74,5.45YR,5.45,YR,15.45,6.28,3.74
Sennelier,11,4.46YR 7.55/3.74,4.46YR,4.46,YR,14.46,7.55,3.74
Unison,Light2,3.93Y 9.25/3.74,3.93Y,3.93,Y,23.93,9.25,3.74
Blue Earth,T1B,2.42BG 3.52/3.75,2.42BG,2.42,BG,52.42,3.52,3.75
Mount Vision,301,3.94R 4.59/3.75,3.94R,3.94,R,3.94,4.59,3.75
Sennelier,105,0.12Y 5.24/3.75,0.12Y,0.12,Y,20.12,5.24,3.75
Blue Earth,V6B,1.08RP 7.84/3.75,1.08RP,1.08,RP,91.08,7.84,3.75
Great American,100.5,2.52YR 8.42/3.75,2.52YR,2.52,YR,12.52,8.42,3.75
Blue Earth,B7A,3.87PB 8.51/3.75,3.87PB,3.87,PB,73.87,8.51,3.75
Rembrandt,"506,2",4.24PB 2.83/3.76,4.24PB,4.24,PB,74.24,2.83,3.76
Girault,160,5.32YR 3.54/3.76,5.32YR,5.32,YR,15.32,3.54,3.76
Blue Earth,P2D,6.13RP 3.78/3.76,6.13RP,6.13,RP,96.13,3.78,3.76
Mount Vision,501,1.01Y 6.86/3.76,1.01Y,1.01,Y,21.01,6.86,3.76
Sennelier,387,6.65RP 8.69/3.76,6.65RP,6.65,RP,96.65,8.69,3.76
Great American,260.1,9.04P 2.92/3.78,9.04P,9.04,P,89.04,2.92,3.78
Blue Earth,L3B,7.28Y 4.83/3.78,7.28Y,7.28,Y,27.28,4.83,3.78
Great American,180.3,3.28GY 7.62/3.78,3.28GY,3.28,GY,33.28,7.62,3.78
Schmincke,035M,6.50YR 5.96/3.79,6.50YR,6.50,YR,16.50,5.96,3.79
Sennelier,910,1.32G 2.66/3.80,1.32G,1.32,G,41.32,2.66,3.80
Schmincke,084B,7.41GY 4.82/3.80,7.41GY,7.41,GY,37.41,4.82,3.80
Girault,222,1.08G 4.84/3.80,1.08G,1.08,G,41.08,4.84,3.80
Great American,390.4,9.84R 6.64/3.80,9.84R,9.84,R,9.84,6.64,3.80
Sennelier,88,5.88R 8.12/3.80,5.88R,5.88,R,5.88,8.12,3.80
Sennelier,43,8.46YR 8.91/3.80,8.46YR,8.46,YR,18.46,8.91,3.80
Great American,365.2,4.73Y 6.04/3.81,4.73Y,4.73,Y,24.73,6.04,3.81
Great American,915.6,0.51YR 8.36/3.81,0.51YR,0.51,YR,10.51,8.36,3.81
Unison,J16,6.60BG 6.14/3.83,6.60BG,6.60,BG,56.60,6.14,3.83
Great American,565.5,3.78GY 9.27/3.83,3.78GY,3.78,GY,33.78,9.27,3.83
Unison,BE18,6.44YR 3.21/3.84,6.44YR,6.44,YR,16.44,3.21,3.84
Girault,192,0.60Y 3.42/3.84,0.60Y,0.60,Y,20.60,3.42,3.84
Unison,SC16,5.00BG 3.85/3.84,5.00BG,5.00,BG,55.00,3.85,3.84
Schmincke,085D,2.83GY 5.45/3.84,2.83GY,2.83,GY,32.83,5.45,3.84
Unison,A5,0.33RP 8.00/3.84,0.33RP,0.33,RP,90.33,8.00,3.84
Unison,BE23,2.36R 4.05/3.85,2.36R,2.36,R,2.36,4.05,3.85
Unison,J13,1.34G 6.48/3.85,1.34G,1.34,G,41.34,6.48,3.85
Mount Vision,760,7.46PB 2.57/3.86,7.46PB,7.46,PB,77.46,2.57,3.86
Sennelier,911,2.34G 2.70/3.86,2.34G,2.34,G,42.34,2.70,3.86
Great American,130.2,4.60YR 5.59/3.86,4.60YR,4.60,YR,14.60,5.59,3.86
Schmincke,070D,4.13G 3.55/3.87,4.13G,4.13,G,44.13,3.55,3.87
Great American,250.3,1.71PB 5.32/3.87,1.71PB,1.71,PB,71.71,5.32,3.87
Schmincke,023M,5.48R 7.25/3.88,5.48R,5.48,R,5.48,7.25,3.88
Girault,464,3.42PB 2.79/3.89,3.42PB,3.42,PB,73.42,2.79,3.89
Unison,YGE17,6.80Y 4.80/3.89,6.80Y,6.80,Y,26.80,4.80,3.89
Blue Earth,Y3D,4.40YR 4.78/3.90,4.40YR,4.40,YR,14.40,4.78,3.90
Great American,520.3,9.68G 6.30/3.90,9.68G,9.68,G,49.68,6.30,3.90
Great American,740.4,3.27P 7.41/3.90,3.27P,3.27,P,83.27,7.41,3.90
Great American,655.6,2.56R 7.99/3.90,2.56R,2.56,R,2.56,7.99,3.90
Great American,250.4,1.45PB 5.97/3.91,1.45PB,1.45,PB,71.45,5.97,3.91
Great American,350.3,5.02Y 7.06/3.91,5.02Y,5.02,Y,25.02,7.06,3.91
Blue Earth,R7B,7.25R 8.23/3.91,7.25R,7.25,R,7.25,8.23,3.91
Great American,860.6,4.57RP 8.68/3.91,4.57RP,4.57,RP,94.57,8.68,3.91
Blue Earth,C5B,7.00B 6.98/3.92,7.00B,7.00,B,67.00,6.98,3.92
Sennelier,785,0.72R 7.94/3.92,0.72R,0.72,R,0.72,7.94,3.92
Girault,259,9.17BG 2.66/3.93,9.17BG,9.17,BG,59.17,2.66,3.93
Unison,BGE6,2.79B 2.86/3.93,2.79B,2.79,B,62.79,2.86,3.93
Schmincke,091D,4.53PB 4.15/3.93,4.53PB,4.53,PB,74.53,4.15,3.93
Girault,429,7.03R 5.19/3.93,7.03R,7.03,R,7.03,5.19,3.93
Sennelier,676,3.26R 8.44/3.93,3.26R,3.26,R,3.26,8.44,3.93
Mount Vision,223,1.86PB 8.50/3.93,1.86PB,1.86,PB,71.86,8.50,3.93
Sennelier,503,8.03B 5.08/3.94,8.03B,8.03,B,68.03,5.08,3.94
Great American,180.4,3.28GY 7.57/3.94,3.28GY,3.28,GY,33.28,7.57,3.94
Rembrandt,"626,10",3.77GY 8.05/3.94,3.77GY,3.77,GY,33.77,8.05,3.94
Sennelier,465,5.40PB 1.10/3.96,5.40PB,5.40,PB,75.40,1.10,3.96
Great American,245.4,9.28B 6.37/3.96,9.28B,9.28,B,69.28,6.37,3.96
Great American,485.5,0.04B 7.95/3.96,0.04B,0.04,B,60.04,7.95,3.96
Schmincke,024D,5.17R 3.58/3.97,5.17R,5.17,R,5.17,3.58,3.97
Blue Earth,E2C,1.16G 3.85/3.97,1.16G,1.16,G,41.16,3.85,3.97
Mount Vision,352,8.21GY 6.39/3.97,8.21GY,8.21,GY,38.21,6.39,3.97
Sennelier,734,2.14B 8.27/3.97,2.14B,2.14,B,62.14,8.27,3.97
Sennelier,756,7.64Y 9.16/3.97,7.64Y,7.64,Y,27.64,9.16,3.97
Mount Vision,860,5.18R 3.95/3.98,5.18R,5.18,R,5.18,3.95,3.98
Unison,BE29,9.59YR 4.17/3.98,9.59YR,9.59,YR,19.59,4.17,3.98
Sennelier,502,7.85B 4.33/3.98,7.85B,7.85,B,67.85,4.33,3.98
Sennelier,56,9.79RP 8.22/3.98,9.79RP,9.79,RP,99.79,8.22,3.98
Blue Earth,V5C,4.83RP 6.52/3.99,4.83RP,4.83,RP,94.83,6.52,3.99
Great American,365.1,5.48Y 5.61/4.00,5.48Y,5.48,Y,25.48,5.61,4.00
Schmincke,061O,2.91PB 5.63/4.00,2.91PB,2.91,PB,72.91,5.63,4.00
Great American,160.6,6.76R 7.80/4.00,6.76R,6.76,R,6.76,7.80,4.00
Great American,495.5,8.41BG 8.00/4.00,8.41BG,8.41,BG,58.41,8.00,4.00
Great American,720.6,3.21P 8.45/4.00,3.21P,3.21,P,83.21,8.45,4.00
Unison,NE2,6.63YR 3.68/4.01,6.63YR,6.63,YR,16.63,3.68,4.01
Sennelier,434,3.68YR 3.86/4.01,3.68YR,3.68,YR,13.68,3.86,4.01
Schmincke,083D,5.12GY 5.33/4.01,5.12GY,5.12,GY,35.12,5.33,4.01
Sennelier,955,1.63G 7.16/4.01,1.63G,1.63,G,41.63,7.16,4.01
Unison,BE17,4.88YR 4.32/4.02,4.88YR,4.88,YR,14.88,4.32,4.02
Mount Vision,724,6.50BG 7.41/4.02,6.50BG,6.50,BG,56.50,7.41,4.02
Great American,130.1,4.03YR 4.52/4.03,4.03YR,4.03,YR,14.03,4.52,4.03
Girault,337,7.28PB 7.05/4.03,7.28PB,7.28,PB,77.28,7.05,4.03
Blue Earth,R7A,6.16R 8.46/4.03,6.16R,6.16,R,6.16,8.46,4.03
Schmincke,085H,3.05GY 5.94/4.04,3.05GY,3.05,GY,33.05,5.94,4.04
Mount Vision,322,2.78R 6.14/4.04,2.78R,2.78,R,2.78,6.14,4.04
Great American,135.3,7.31YR 6.84/4.04,7.31YR,7.31,YR,17.31,6.84,4.04
Mount Vision,132,2.55Y 7.36/4.04,2.55Y,2.55,Y,22.55,7.36,4.04
Rembrandt,"411,9",7.37YR 7.70/4.04,7.37YR,7.37,YR,17.37,7.70,4.04
Rembrandt,"234,9",1.06Y 7.91/4.04,1.06Y,1.06,Y,21.06,7.91,4.04
Mount Vision,633,1.31B 7.96/4.04,1.31B,1.31,B,61.31,7.96,4.04
Unison,Light3,4.62Y 9.25/4.04,4.62Y,4.62,Y,24.62,9.25,4.04
Great American,430.2,5.54PB 4.77/4.05,5.54PB,5.54,PB,75.54,4.77,4.05
Great American,430.4,4.61PB 6.45/4.05,4.61PB,4.61,PB,74.61,6.45,4.05
Rembrandt,"205,9",0.84GY 9.00/4.05,0.84GY,0.84,GY,30.84,9.00,4.05
Great American,410.1,3.30PB 3.15/4.06,3.30PB,3.30,PB,73.30,3.15,4.06
Great American,950.2,4.17P 3.75/4.06,4.17P,4.17,P,84.17,3.75,4.06
Blue Earth,Y2C,4.35YR 4.03/4.06,4.35YR,4.35,YR,14.35,4.03,4.06
Unison,NE11,5.57YR 5.31/4.06,5.57YR,5.57,YR,15.57,5.31,4.06
Blue Earth,Y5D,7.84YR 6.47/4.06,7.84YR,7.84,YR,17.84,6.47,4.06
Schmincke,024M,5.82R 6.48/4.06,5.82R,5.82,R,5.82,6.48,4.06
Girault,295,6.32B 6.82/4.06,6.32B,6.32,B,66.32,6.82,4.06
Great American,910.2,9.37YR 7.83/4.06,9.37YR,9.37,YR,19.37,7.83,4.06
Unison,BGE11,8.77BG 4.08/4.07,8.77BG,8.77,BG,58.77,4.08,4.07
Unison,BE14,9.59YR 7.05/4.07,9.59YR,9.59,YR,19.59,7.05,4.07
Blue Earth,Y6C,9.43YR 7.25/4.07,9.43YR,9.43,YR,19.43,7.25,4.07
Sennelier,134,4.18PB 1.87/4.08,4.18PB,4.18,PB,74.18,1.87,4.08
Mount Vision,261,1.86B 4.03/4.08,1.86B,1.86,B,61.86,4.03,4.08
Great American,365.0,6.15Y 5.07/4.08,6.15Y,6.15,Y,26.15,5.07,4.08
Unison,A56,5.67RP 5.82/4.08,5.67RP,5.67,RP,95.67,5.82,4.08
Great American,540.3,5.93BG 6.74/4.08,5.93BG,5.93,BG,55.93,6.74,4.08
Sennelier,152,5.90G 8.33/4.08,5.90G,5.90,G,45.90,8.33,4.08
Mount Vision,442,1.01Y 8.33/4.08,1.01Y,1.01,Y,21.01,8.33,4.08
Unison,BE4,9.73YR 5.36/4.09,9.73YR,9.73,YR,19.73,5.36,4.09
Unison,Dark13,9.44PB 2.72/4.11,9.44PB,9.44,PB,79.44,2.72,4.11
Schmincke,069B,1.93PB 2.78/4.11,1.93PB,1.93,PB,71.93,2.78,4.11
Blue Earth,R1B,6.55R 3.22/4.11,6.55R,6.55,R,6.55,3.22,4.11
Sennelier,183,4.33BG 3.67/4.11,4.33BG,4.33,BG,54.33,3.67,4.11
Girault,436,0.05YR 4.35/4.11,0.05YR,0.05,YR,10.05,4.35,4.11
Unison,BV8,3.21PB 8.04/4.11,3.21PB,3.21,PB,73.21,8.04,4.11
Unison,Dark11,6.77GY 3.79/4.12,6.77GY,6.77,GY,36.77,3.79,4.12
Mount Vision,682,9.43RP 4.92/4.12,9.43RP,9.43,RP,99.43,4.92,4.12
Rembrandt,"618,3",5.61GY 5.43/4.12,5.61GY,5.61,GY,35.61,5.43,4.12
Sennelier,912,0.88G 3.01/4.14,0.88G,0.88,G,40.88,3.01,4.14
Great American,115.1,3.67RP 3.63/4.14,3.67RP,3.67,RP,93.67,3.63,4.14
Mount Vision,811,8.80Y 6.63/4.14,8.80Y,8.80,Y,28.80,6.63,4.14
Unison,RE2,6.79R 7.48/4.15,6.79R,6.79,R,6.79,7.48,4.15
Unison,Dark18,3.82PB 2.03/4.16,3.82PB,3.82,PB,73.82,2.03,4.16
Girault,434,1.23YR 3.03/4.16,1.23YR,1.23,YR,11.23,3.03,4.16
Great American,180.1,5.00GY 4.65/4.17,5.00GY,5.00,GY,35.00,4.65,4.17
Mount Vision,602,1.38P 6.02/4.17,1.38P,1.38,P,81.38,6.02,4.17
Mount Vision,683,8.43RP 6.70/4.17,8.43RP,8.43,RP,98.43,6.70,4.17
Girault,458,1.62YR 2.72/4.18,1.62YR,1.62,YR,11.62,2.72,4.18
Girault,238,9.03Y 3.73/4.18,9.03Y,9.03,Y,29.03,3.73,4.18
Mount Vision,350,6.21GY 4.80/4.18,6.21GY,6.21,GY,36.21,4.80,4.18
Mount Vision,733,4.46R 8.22/4.18,4.46R,4.46,R,4.46,8.22,4.18
Mount Vision,203,1.93GY 9.12/4.18,1.93GY,1.93,GY,31.93,9.12,4.18
Great American,313.0,7.56YR 4.36/4.19,7.56YR,7.56,YR,17.56,4.36,4.19
Blue Earth,R3C,8.94R 4.80/4.19,8.94R,8.94,R,8.94,4.80,4.19
Blue Earth,O7D,5.25YR 8.14/4.19,5.25YR,5.25,YR,15.25,8.14,4.19
Schmincke,005O,8.50YR 8.95/4.19,8.50YR,8.50,YR,18.50,8.95,4.19
Sennelier,181,1.32BG 3.31/4.20,1.32BG,1.32,BG,51.32,3.31,4.20
Blue Earth,R6C,8.24R 7.64/4.20,8.24R,8.24,R,8.24,7.64,4.20
Schmincke,062O,4.77PB 7.83/4.20,4.77PB,4.77,PB,74.77,7.83,4.20
Sennelier,336,7.30PB 7.49/4.21,7.30PB,7.30,PB,77.30,7.49,4.21
Mount Vision,773,5.69B 7.74/4.21,5.69B,5.69,B,65.69,7.74,4.21
Unison,G14,5.71GY 4.21/4.22,5.71GY,5.71,GY,35.71,4.21,4.22
Great American,380.3,0.57GY 7.21/4.22,0.57GY,0.57,GY,30.57,7.21,4.22
Rembrandt,"505,3",2.56PB 4.25/4.23,2.56PB,2.56,PB,72.56,4.25,4.23
Girault,510,1.72Y 4.68/4.23,1.72Y,1.72,Y,21.72,4.68,4.23
Blue Earth,Y4D,5.90YR 5.75/4.23,5.90YR,5.90,YR,15.90,5.75,4.23
Mount Vision,53,8.88GY 8.11/4.24,8.88GY,8.88,GY,38.88,8.11,4.24
Great American,470.5,4.11PB 8.35/4.24,4.11PB,4.11,PB,74.11,8.35,4.24
Great American,565.4,1.77GY 9.01/4.24,1.77GY,1.77,GY,31.77,9.01,4.24
Great American,125.2,6.36YR 3.96/4.25,6.36YR,6.36,YR,16.36,3.96,4.25
Unison,NE14,9.37YR 6.91/4.25,9.37YR,9.37,YR,19.37,6.91,4.25
Blue Earth,O2C,8.02R 3.49/4.26,8.02R,8.02,R,8.02,3.49,4.26
Girault,162,3.85YR 4.24/4.26,3.85YR,3.85,YR,13.85,4.24,4.26
Great American,195.2,4.21Y 5.30/4.26,4.21Y,4.21,Y,24.21,5.30,4.26
Unison,BE15,7.02YR 6.10/4.26,7.02YR,7.02,YR,17.02,6.10,4.26
Blue Earth,E5C,6.09GY 7.04/4.26,6.09GY,6.09,GY,36.09,7.04,4.26
Mount Vision,33,5.97B 7.69/4.26,5.97B,5.97,B,65.97,7.69,4.26
Great American,580.5,6.12Y 9.19/4.26,6.12Y,6.12,Y,26.12,9.19,4.26
Sennelier,227,7.45G 4.36/4.27,7.45G,7.45,G,47.45,4.36,4.27
Girault,191,8.05YR 3.27/4.28,8.05YR,8.05,YR,18.05,3.27,4.28
Mount Vision,152,3.74YR 7.31/4.28,3.74YR,3.74,YR,13.74,7.31,4.28
Unison,NE10,9.88YR 5.19/4.29,9.88YR,9.88,YR,19.88,5.19,4.29
Unison,BG11,6.03B 7.92/4.29,6.03B,6.03,B,66.03,7.92,4.29
Blue Earth,C6A,8.64B 8.10/4.29,8.64B,8.64,B,68.64,8.10,4.29
Schmincke,028O,3.34Y 8.31/4.29,3.34Y,3.34,Y,23.34,8.31,4.29
Mount Vision,300,6.06R 3.22/4.30,6.06R,6.06,R,6.06,3.22,4.30
Great American,125.3,6.86YR 4.83/4.30,6.86YR,6.86,YR,16.86,4.83,4.30
Unison,YGE13,3.38Y 8.24/4.30,3.38Y,3.38,Y,23.38,8.24,4.30
Great American,410.2,1.87PB 5.15/4.31,1.87PB,1.87,PB,71.87,5.15,4.31
Rembrandt,"234,3",1.03Y 5.16/4.31,1.03Y,1.03,Y,21.03,5.16,4.31
Great American,660.4,0.66R 6.78/4.31,0.66R,0.66,R,0.66,6.78,4.31
Girault,125,2.15YR 6.93/4.31,2.15YR,2.15,YR,12.15,6.93,4.31
Great American,165.6,7.15YR 6.70/4.32,7.15YR,7.15,YR,17.15,6.70,4.32
Great American,590.6,2.19YR 8.88/4.32,2.19YR,2.19,YR,12.19,8.88,4.32
Sennelier,172,7.62GY 5.59/4.33,7.62GY,7.62,GY,37.62,5.59,4.33
Great American,155.2,3.67YR 5.97/4.33,3.67YR,3.67,YR,13.67,5.97,4.33
Unison,Dark1,0.99YR 3.11/4.34,0.99YR,0.99,YR,10.99,3.11,4.34
Mount Vision,282,2.29GY 3.83/4.34,2.29GY,2.29,GY,32.29,3.83,4.34
Blue Earth,P4D,4.50RP 5.22/4.34,4.50RP,4.50,RP,94.50,5.22,4.34
Sennelier,95,9.87R 7.11/4.34,9.87R,9.87,R,9.87,7.11,4.34
Unison,O18,7.92YR 8.64/4.34,7.92YR,7.92,YR,17.92,8.64,4.34
Great American,580.4,1.74Y 9.02/4.34,1.74Y,1.74,Y,21.74,9.02,4.34
Schmincke,067H,8.69B 3.85/4.35,8.69B,8.69,B,68.69,3.85,4.35
Unison,A60,1.80P 6.17/4.35,1.80P,1.80,P,81.80,6.17,4.35
Schmincke,018O,4.74YR 7.56/4.35,4.74YR,4.74,YR,14.74,7.56,4.35
Blue Earth,E2A,6.49GY 3.95/4.36,6.49GY,6.49,GY,36.49,3.95,4.36
Mount Vision,642,4.13PB 4.60/4.36,4.13PB,4.13,PB,74.13,4.60,4.36
Rembrandt,"618,9",7.12GY 7.95/4.36,7.12GY,7.12,GY,37.12,7.95,4.36
Mount Vision,482,9.55YR 8.21/4.36,9.55YR,9.55,YR,19.55,8.21,4.36
Great American,555.5,7.19GY 8.65/4.36,7.19GY,7.19,GY,37.19,8.65,4.36
Sennelier,169,2.76GY 4.14/4.37,2.76GY,2.76,GY,32.76,4.14,4.37
Great American,520.2,8.78G 5.61/4.37,8.78G,8.78,G,48.78,5.61,4.37
Rembrandt,"227,3",2.96Y 5.72/4.37,2.96Y,2.96,Y,22.96,5.72,4.37
Blue Earth,P7C,4.54RP 7.56/4.38,4.54RP,4.54,RP,94.54,7.56,4.38
Mount Vision,23,1.78RP 8.39/4.38,1.78RP,1.78,RP,91.78,8.39,4.38
Rembrandt,"619,3",5.44G 4.31/4.39,5.44G,5.44,G,45.44,4.31,4.39
Schmincke,029M,3.46Y 8.31/4.39,3.46Y,3.46,Y,23.46,8.31,4.39
Mount Vision,661,7.09Y 4.52/4.40,7.09Y,7.09,Y,27.09,4.52,4.40
